club,website,host,resolved_ip,provider,country,asn,whois_excerpt,curl_status,curl_error,curl_effective_url,curl_response_code,curl_http_version,curl_scheme,curl_content_type,curl_remote_ip,curl_remote_port,curl_local_ip,curl_local_port,curl_num_redirects,curl_num_connects,curl_size_download_bytes,curl_size_header_bytes,curl_size_request_bytes,curl_speed_download_bytes_s,curl_ssl_verify_result,curl_time_namelookup_s,curl_time_connect_s,curl_time_appconnect_s,curl_time_pretransfer_s,curl_time_starttransfer_s,curl_time_total_s,curl_dns_s,curl_tcp_handshake_s,curl_tls_handshake_s,curl_pretransfer_after_tls_s,curl_ttfb_after_connect_s,curl_download_time_s,curl_raw_json,lighthouse_status,lighthouse_error,lighthouse_final_url,lighthouse_fetch_time,lighthouse_version,lighthouse_performance_score,lh_fcp_ms,lh_lcp_ms,lh_speed_index_ms,lh_tbt_ms,lh_cls,lh_tti_ms,lh_server_response_time_ms,lh_network_requests,lh_total_byte_weight_bytes,lh_dom_size_elements,lh_render_blocking_resources_ms,lh_unused_javascript_bytes,lh_unused_css_bytes,lh_mainthread_work_breakdown_ms,lh_bootup_time_ms,lh_max_potential_fid_ms,lh_lcp_element,psi_mobile_status,psi_mobile_error,psi_mobile_lab_fcp_ms,psi_mobile_lab_lcp_ms,psi_mobile_lab_cls,psi_mobile_lab_tbt_ms,psi_mobile_field_lcp_p75_ms,psi_mobile_field_cls_p75,psi_mobile_field_inp_p75_ms,psi_mobile_field_fcp_p75_ms,psi_mobile_field_ttfb_p75_ms,psi_mobile_field_lcp_category,psi_mobile_field_cls_category,psi_mobile_field_inp_category,psi_mobile_origin_lcp_p75_ms,psi_mobile_origin_cls_p75,psi_mobile_origin_inp_p75_ms,psi_desktop_status,psi_desktop_error,psi_desktop_lab_fcp_ms,psi_desktop_lab_lcp_ms,psi_desktop_lab_cls,psi_desktop_lab_tbt_ms,psi_desktop_field_lcp_p75_ms,psi_desktop_field_cls_p75,psi_desktop_field_inp_p75_ms,psi_desktop_field_fcp_p75_ms,psi_desktop_field_ttfb_p75_ms,psi_desktop_field_lcp_category,psi_desktop_field_cls_category,psi_desktop_field_inp_category,psi_desktop_origin_lcp_p75_ms,psi_desktop_origin_cls_p75,psi_desktop_origin_inp_p75_ms
Dinamo,https://gnkdinamo.hr/,gnkdinamo.hr,172.67.222.17,"Cloudflare, Inc.",US,13335,"{""ip"": ""172.67.222.17"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""North America"", ""continent_code"": ""NA"", ""country"": ""United States"", ""country_code"": ""US"", ""region"": ""California"", ""region_code"": ""CA"", ""city"": ""San Francisco"", ""latitude"": 37.718128, ""longitude"": -122.4343849, ""is_eu"": false, ""postal"": ""94102"", ""calling_code"": ""1"", ""capital"": ""Washington D.C."", ""borders"": ""CA,MX"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/us.svg"", ""emoji"": ""🇺🇸"", ""emoji_unicode"": ""U+1F1FA U+1F1F8""}, ""conne",ok,,https://gnkdinamo.hr/hr,200,2,HTTPS,text/html; charset=utf-8,104.21.25.30,443,192.168.1.26,52416,1,1,431151,1201,0,660481,0,0.014988,0.037223,0.074161,0.074589,0.589601,0.652783,0.014988,0.022235,0.036938,0.000428,0.515012,0.063182,"{""certs"": ""Subject:CN = gnkdinamo.hr\nIssuer:C = US, O = Google Trust Services, CN = WE1\nVersion:2\nSerial Number:75c392120a9bc04b130c7a1e47ff9d3e\nSignature Algorithm:ecdsa-with-SHA256\nPublic Key Algorithm:id-ecPublicKey\nX509v3 Key Usage:Digital Signature\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:B3:54:56:3F:75:BB:76:04:27:D5:AF:2E:21:3B:46:91:33:09:89:97\nX509v3 Authority Key Identifier:90:77:92:35:67:C4:FF:A8:CC:A9:E6:7B:D9:80:79:7B:CC:93:F9:38\nAuthority Information Access:OCSP - URI:http://o.pki.goog/s/we1/dcM\nCA Issuers - URI:http://i.pki.goog/we1.crt\nX509v3 Subject Alternative Name:DNS:gnkdinamo.hr, DNS:*.gnkdinamo.hr\nX509v3 Certificate Policies:Policy: 2.23.140.1.2.1\nX509v3 CRL Distribution Poin",ok,,https://gnkdinamo.hr/hr,2026-05-02T15:33:54.937Z,12.8.2,82.0,517.3050000000001,3274.2555000000007,980.09510582381,0,0.0021739999999999997,3368.255500000001,67.789,137,10669924,1229,0,57913,46184,686.422000000011,131.29300000000373,40,"3,270 ms",ok,,2878.2998019501965,17288.293110996936,0.001,64,1539,0,138,1072,648,FAST,FAST,FAST,1487,1,107,ok,,847.1733489678454,3239.162672829805,0.001899,84,1574,0,56,1016,662,FAST,FAST,FAST,1388,0,53
Hajduk,https://hajduk.hr/,hajduk.hr,172.67.203.172,"Cloudflare, Inc.",US,13335,"{""ip"": ""172.67.203.172"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""North America"", ""continent_code"": ""NA"", ""country"": ""United States"", ""country_code"": ""US"", ""region"": ""California"", ""region_code"": ""CA"", ""city"": ""San Francisco"", ""latitude"": 37.718128, ""longitude"": -122.4343849, ""is_eu"": false, ""postal"": ""94102"", ""calling_code"": ""1"", ""capital"": ""Washington D.C."", ""borders"": ""CA,MX"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/us.svg"", ""emoji"": ""🇺🇸"", ""emoji_unicode"": ""U+1F1FA U+1F1F8""}, ""conn",ok,,https://hajduk.hr/,200,2,HTTPS,text/html; charset=utf-8,172.67.203.172,443,192.168.1.26,52455,0,1,29183,570,0,242064,0,0.010478,0.034203,0.070727,0.071878,0.117859,0.120559,0.010478,0.023725,0.036524,0.001151,0.045981,0.0027,"{""certs"": ""Subject:CN = hajduk.hr\nIssuer:C = US, O = Google Trust Services, CN = WE1\nVersion:2\nSerial Number:f9b6d953329d12720e8b1ca741ab8fd1\nSignature Algorithm:ecdsa-with-SHA256\nPublic Key Algorithm:id-ecPublicKey\nX509v3 Key Usage:Digital Signature\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:85:14:E5:1A:C1:BE:60:11:E1:2B:B6:3A:DB:29:C0:F3:F8:F9:F4:CD\nX509v3 Authority Key Identifier:90:77:92:35:67:C4:FF:A8:CC:A9:E6:7B:D9:80:79:7B:CC:93:F9:38\nAuthority Information Access:OCSP - URI:http://o.pki.goog/s/we1/-bY\nCA Issuers - URI:http://i.pki.goog/we1.crt\nX509v3 Subject Alternative Name:DNS:hajduk.hr, DNS:*.hajduk.hr\nX509v3 Certificate Policies:Policy: 2.23.140.1.2.1\nX509v3 CRL Distribution Points:Full N",ok,,https://hajduk.hr/,2026-05-02T15:35:07.304Z,12.8.2,76.0,621.7278799999999,4727.57204,1377.337642698646,0,0.010526,4827.737608,103.42000000000002,87,8624920,774,239,470574,40995,468.32000000000005,11.925999999999998,31,"4,730 ms",ok,,2125.585249924201,10122.275587007307,0.007654,80,1098,0,86,792,321,FAST,FAST,FAST,1174,0,84,ok,,674.9132049090313,2422.558197067898,0.035763,350.0000000000001,913,1,32,687,293,FAST,FAST,FAST,768,2,34
Rijeka,https://nk-rijeka.hr/,nk-rijeka.hr,51.89.7.44,OVH SAS,DE,16276,"{""ip"": ""51.89.7.44"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""Europe"", ""continent_code"": ""EU"", ""country"": ""Germany"", ""country_code"": ""DE"", ""region"": ""Saarland"", ""region_code"": ""SL"", ""city"": ""Saarbrücken"", ""latitude"": 49.2401572, ""longitude"": 6.9969327, ""is_eu"": true, ""postal"": ""66111"", ""calling_code"": ""49"", ""capital"": ""Berlin"", ""borders"": ""AT,BE,CH,CZ,DK,FR,LU,NL,PL"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/de.svg"", ""emoji"": ""🇩🇪"", ""emoji_unicode"": ""U+1F1E9 U+1F1EA""}, ""connection"": {""",ok,,https://nk-rijeka.hr/,200,2,HTTPS,text/html; charset=UTF-8,51.89.7.44,443,192.168.1.26,52488,0,1,346376,380,0,388544,0,0.019754,0.043809,0.085003,0.08556,0.324529,0.891471,0.019754,0.024055,0.041194,0.000557,0.238969,0.566942,"{""certs"": ""Subject:CN = hnk-rijeka.hr\nIssuer:C = US, O = Let's Encrypt, CN = R12\nVersion:2\nSerial Number:050df5d7eb4c33d3697a9d7ad727e65d46c8\nSignature Algorithm:sha256WithRSAEncryption\nPublic Key Algorithm:rsaEncryption\nX509v3 Key Usage:Digital Signature, Key Encipherment\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:3B:EA:A0:12:FB:68:04:5D:AE:D0:D8:7A:B1:DD:9C:76:B5:59:E9:5C\nX509v3 Authority Key Identifier:00:B5:29:F2:2D:8E:6F:31:E8:9B:4C:AD:78:3E:FA:DC:E9:0C:D1:D2\nAuthority Information Access:CA Issuers - URI:http://r12.i.lencr.org/\nX509v3 Subject Alternative Name:DNS:*.anketa.nk-rijeka.hr, DNS:*.hnk-rijeka.hr, DNS:*.nk-rijeka.hr, DNS:*.podrska.nk-rijeka.hr, DNS:hnk-rijeka.hr, DNS:nk-rijeka.hr\nX509v3 ",ok,,https://nk-rijeka.hr/,2026-05-02T15:36:10.280Z,12.8.2,82.0,932.1525,2236.0725,2621.1166694271737,9,0.003755,2236.0725,785.7570000000001,257,12936244,2120,406,148931,163628,1210.6279999999942,185.7480000000009,59,"2,240 ms",ok,,4951.0178013480845,10501.03904811838,0.115694,1487,2050,1,93,1706,1172,FAST,FAST,FAST,1701,0,74,ok,,1081.0189457166707,2081.037891433341,0.003325,1178.9999999999982,2009,1,45,1666,1120,FAST,FAST,FAST,1712,1,46
Varaždin,https://nk-varazdin.hr/,nk-varazdin.hr,172.67.164.173,"Cloudflare, Inc.",US,13335,"{""ip"": ""172.67.164.173"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""North America"", ""continent_code"": ""NA"", ""country"": ""United States"", ""country_code"": ""US"", ""region"": ""California"", ""region_code"": ""CA"", ""city"": ""San Francisco"", ""latitude"": 37.718128, ""longitude"": -122.4343849, ""is_eu"": false, ""postal"": ""94102"", ""calling_code"": ""1"", ""capital"": ""Washington D.C."", ""borders"": ""CA,MX"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/us.svg"", ""emoji"": ""🇺🇸"", ""emoji_unicode"": ""U+1F1FA U+1F1F8""}, ""conn",ok,,https://varazdin.club/,200,2,HTTPS,text/html; charset=UTF-8,172.67.201.189,443,192.168.1.26,52556,1,2,164143,1568,0,60437,0,0.02138,0.065624,0.13252,0.132916,2.681392,2.715895,0.02138,0.044244,0.066896,0.000396,2.548476,0.034503,"{""certs"": ""Subject:CN = varazdin.club\nIssuer:C = US, O = Google Trust Services, CN = WE1\nVersion:2\nSerial Number:5afc8f5c927f384813b467a42e875766\nSignature Algorithm:ecdsa-with-SHA256\nPublic Key Algorithm:id-ecPublicKey\nX509v3 Key Usage:Digital Signature\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:75:52:07:A6:0E:5C:8F:29:73:B6:4C:EB:63:DC:40:FF:B2:40:CC:0B\nX509v3 Authority Key Identifier:90:77:92:35:67:C4:FF:A8:CC:A9:E6:7B:D9:80:79:7B:CC:93:F9:38\nAuthority Information Access:OCSP - URI:http://o.pki.goog/s/we1/Wvw\nCA Issuers - URI:http://i.pki.goog/we1.crt\nX509v3 Subject Alternative Name:DNS:varazdin.club, DNS:*.varazdin.club\nX509v3 Certificate Policies:Policy: 2.23.140.1.2.1\nX509v3 CRL Distribution P",ok,,https://varazdin.club/,2026-05-02T15:38:42.876Z,12.8.2,75.0,1186.0565,2774.0564999999997,3041.5198330181242,0,0.003503,2774.0564999999997,2363.161,120,3312631,967,50,199758,234257,653.3780000000011,48.70599999999999,19,"2,770 ms",ok,,5731.076327814331,13787.20805484874,0.09721,165.5,4234,0,84,3634,2990,SLOW,FAST,FAST,3913,0,79,ok,,1538.3789641566225,2292.103454456048,0.002249,468.1560440644919,4122,0,28,3607,3044,SLOW,FAST,FAST,3402,0,32
Slaven Belupo,https://nk-slaven-belupo.hr/,nk-slaven-belupo.hr,185.58.73.254,Cyber Folks D.O.O,HR,201563,"{""ip"": ""185.58.73.254"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""Europe"", ""continent_code"": ""EU"", ""country"": ""Croatia"", ""country_code"": ""HR"", ""region"": ""Koprivnica-Križevci County"", ""region_code"": """", ""city"": ""Kalinovac"", ""latitude"": 46.0248064, ""longitude"": 17.1130038, ""is_eu"": true, ""postal"": ""48361"", ""calling_code"": ""385"", ""capital"": ""Zagreb"", ""borders"": ""BA,HU,ME,RS,SI"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/hr.svg"", ""emoji"": ""🇭🇷"", ""emoji_unicode"": ""U+1F1ED U+1F1F7""}, ""connecti",ok,,https://nk-slaven-belupo.hr/,200,2,HTTPS,text/html; charset=utf-8,185.58.73.254,443,192.168.1.26,52629,0,1,214526,663,0,524976,0,0.011775,0.037379,0.071045,0.071987,0.130266,0.408639,0.011775,0.025604,0.033666,0.000942,0.058279,0.278373,"{""certs"": ""Subject:CN = *.nk-slaven-belupo.hr\nIssuer:C = US, O = Let's Encrypt, CN = R13\nVersion:2\nSerial Number:0667126dad70bc968af4b073627af2059238\nSignature Algorithm:sha256WithRSAEncryption\nPublic Key Algorithm:rsaEncryption\nX509v3 Key Usage:Digital Signature, Key Encipherment\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:2A:84:F9:87:74:DB:99:AB:8C:39:B0:60:0E:77:BE:9B:DC:59:3D:AF\nX509v3 Authority Key Identifier:E7:AB:9F:0F:2C:33:A0:53:D3:5E:4F:78:C8:B2:84:0E:3B:D6:92:33\nAuthority Information Access:CA Issuers - URI:http://r13.i.lencr.org/\nX509v3 Subject Alternative Name:DNS:*.nk-slaven-belupo.hr, DNS:nk-slaven-belupo.hr, DNS:www.archive.nk-slaven-belupo.hr, DNS:www.arhiva.nk-slaven-belupo.hr\nX509v3 ",ok,,https://nk-slaven-belupo.hr/,2026-05-02T15:41:07.965Z,12.8.2,39.0,3518.5082799999996,6629.30578,4810.5951149646025,0,0.362113,6690.040454,48.961999999999996,128,9118616,2424,3166,131543,83203,809.9609999999994,116.56099999999986,16,"6,630 ms",ok,,5701.086479065818,36499.9490021056,0.019507,399,1996,2,86,1070,412,FAST,FAST,FAST,1461,0,90,ok,,2049.344218773853,7359.711382391093,0.431098,111,3521,45,33,952,483,AVERAGE,SLOW,FAST,1590,36,38
Lokomotiva,https://nklokomotiva.hr/,nklokomotiva.hr,178.218.166.39,Plus Hosting Grupa D.O.O.,HR,12417,"{""ip"": ""178.218.166.39"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""Europe"", ""continent_code"": ""EU"", ""country"": ""Croatia"", ""country_code"": ""HR"", ""region"": ""Istria County"", ""region_code"": ""18"", ""city"": ""Pula"", ""latitude"": 44.8666232, ""longitude"": 13.8495788, ""is_eu"": true, ""postal"": ""52103"", ""calling_code"": ""385"", ""capital"": ""Zagreb"", ""borders"": ""BA,HU,ME,RS,SI"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/hr.svg"", ""emoji"": ""🇭🇷"", ""emoji_unicode"": ""U+1F1ED U+1F1F7""}, ""connection"": {""asn"": 12",ok,,https://nklokomotiva.hr/,200,2,HTTPS,text/html; charset=UTF-8,178.218.166.39,443,192.168.1.26,52670,0,1,232025,710,0,262111,0,0.007098,0.015777,0.037965,0.038627,0.857688,0.885216,0.007098,0.008679,0.022188,0.000662,0.819061,0.027528,"{""certs"": ""Subject:CN = nklokomotiva.hr\nIssuer:C = US, O = Let's Encrypt, CN = R12\nVersion:2\nSerial Number:064cd349c0e32ea97b130245b7c1b39331a2\nSignature Algorithm:sha256WithRSAEncryption\nPublic Key Algorithm:rsaEncryption\nX509v3 Key Usage:Digital Signature, Key Encipherment\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:0F:A9:DC:B0:4F:D1:A2:85:40:68:2B:5D:DD:72:65:A5:F3:4C:6A:CC\nX509v3 Authority Key Identifier:00:B5:29:F2:2D:8E:6F:31:E8:9B:4C:AD:78:3E:FA:DC:E9:0C:D1:D2\nAuthority Information Access:CA Issuers - URI:http://r12.i.lencr.org/\nX509v3 Subject Alternative Name:DNS:nklokomotiva.hr, DNS:www.nklokomotiva.hr\nX509v3 Certificate Policies:Policy: 2.23.140.1.2.1\nX509v3 CRL Distribution Points:Full Name",ok,,https://nklokomotiva.hr/,2026-05-02T15:42:53.723Z,12.8.2,42.0,2221.1309999999994,24254.411,4574.845617853696,0,0.321351,25553.651800000003,791.952,214,46294436,1735,1555,395208,1333507,3458.97899999996,121.04900000000008,27,"24,250 ms",ok,,11552,133352,0.045079,373,4863,0,136,3466,2382,SLOW,FAST,FAST,3168,0,89,ok,,2201,23889,0.320112,439,5812,24,81,3938,3168,SLOW,AVERAGE,FAST,2813,17,50
Osijek,http://nk-osijek.hr/,nk-osijek.hr,185.46.34.60,Sedmi Odjel D.O.O.,HR,198785,"{""ip"": ""185.46.34.60"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""Europe"", ""continent_code"": ""EU"", ""country"": ""Croatia"", ""country_code"": ""HR"", ""region"": ""Osijek-Baranja County"", ""region_code"": """", ""city"": ""Niza"", ""latitude"": 45.5440715, ""longitude"": 18.237279, ""is_eu"": true, ""postal"": ""31224"", ""calling_code"": ""385"", ""capital"": ""Zagreb"", ""borders"": ""BA,HU,ME,RS,SI"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/hr.svg"", ""emoji"": ""🇭🇷"", ""emoji_unicode"": ""U+1F1ED U+1F1F7""}, ""connection"": {""asn"":",ok,,https://nk-osijek.hr/,200,2,HTTPS,text/html; charset=utf-8,185.46.34.60,443,192.168.1.26,52721,1,2,59084,461,0,225769,0,0.016767,0.108224,0.075178,0.156079,0.226685,0.261701,0.016767,0.091457,-0.033046,0.080901,0.070606,0.035016,"{""certs"": ""Subject:CN = nk-osijek.hr\nIssuer:C = US, O = Let's Encrypt, CN = R12\nVersion:2\nSerial Number:0505f5db997028ef48da4c6772ab3ea67de2\nSignature Algorithm:sha256WithRSAEncryption\nPublic Key Algorithm:rsaEncryption\nX509v3 Key Usage:Digital Signature, Key Encipherment\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:27:B0:52:DD:A8:25:AF:AB:7A:C7:CF:C1:12:4E:39:E4:4C:19:BF:DA\nX509v3 Authority Key Identifier:00:B5:29:F2:2D:8E:6F:31:E8:9B:4C:AD:78:3E:FA:DC:E9:0C:D1:D2\nAuthority Information Access:CA Issuers - URI:http://r12.i.lencr.org/\nX509v3 Subject Alternative Name:DNS:nk-osijek.hr, DNS:www.nk-osijek.hr\nX509v3 Certificate Policies:Policy: 2.23.140.1.2.1\nX509v3 CRL Distribution Points:Full Name:\n  URI:",ok,,https://nk-osijek.hr/,2026-05-02T15:45:35.337Z,12.8.2,75.0,1281.0595000000003,4189.693499999999,1281.0595000000003,0,0.017228,4380.160250000001,45.973,130,6635123,1104,693,111494,24776,917.2469999999965,244.7270000000002,47,"4,190 ms",ok,,4564.739624835152,8281.37966104833,0,19,1564,2,78,1118,350,FAST,FAST,FAST,1403,0,80,ok,,1037.2193611439893,3871.610867158441,0.006714,65,1625,6,33,1087,186,FAST,FAST,FAST,1032,3,31
Istra 1961,https://nkistra.com/,nkistra.com,185.213.27.139,Contabo GmbH,FR,51167,"{""ip"": ""185.213.27.139"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""Europe"", ""continent_code"": ""EU"", ""country"": ""France"", ""country_code"": ""FR"", ""region"": ""Grand Est"", ""region_code"": ""GES"", ""city"": ""Lauterbourg"", ""latitude"": 48.974797, ""longitude"": 8.176773, ""is_eu"": true, ""postal"": ""67630"", ""calling_code"": ""33"", ""capital"": ""Paris"", ""borders"": ""AD,BE,CH,DE,ES,IT,LU,MC"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/fr.svg"", ""emoji"": ""🇫🇷"", ""emoji_unicode"": ""U+1F1EB U+1F1F7""}, ""connection"": {""a",ok,,https://nkistra.com/,200,1.1,HTTPS,text/html; charset=UTF-8,185.213.27.139,443,192.168.1.26,52753,0,1,131736,346,0,130573,0,0.006889,0.033918,0.077695,0.077993,0.921649,1.0089,0.006889,0.027029,0.043777,0.000298,0.843656,0.087251,"{""certs"": ""Subject:CN = nkistra.com\nIssuer:C = US, O = Let's Encrypt, CN = R13\nVersion:2\nSerial Number:059ec0c22a5c9ce34cc0d7cb914021018ac7\nSignature Algorithm:sha256WithRSAEncryption\nPublic Key Algorithm:rsaEncryption\nX509v3 Key Usage:Digital Signature, Key Encipherment\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:7F:3B:95:3F:76:8C:48:06:CA:B9:8E:FD:00:02:CF:79:F9:98:AE:6A\nX509v3 Authority Key Identifier:E7:AB:9F:0F:2C:33:A0:53:D3:5E:4F:78:C8:B2:84:0E:3B:D6:92:33\nAuthority Information Access:CA Issuers - URI:http://r13.i.lencr.org/\nX509v3 Subject Alternative Name:DNS:mail.nkistra.com, DNS:nkistra.com, DNS:shop.nkistra.com, DNS:www.nkistra.com\nX509v3 Certificate Policies:Policy: 2.23.140.1.2.1\nX509v3 C",ok,,https://nkistra.com/,2026-05-02T15:46:32.484Z,12.8.2,45.0,3382.5675,8110.126749999999,4763.58532625344,21.5,0.21646900000000002,8127.2843250000005,869.516,107,12131527,1665,2817,897969,2142443,1115.587999999989,281.74900000000054,71,"8,110 ms",ok,,17139,52763,0.215202,140,4006,28,98,2457,1491,SLOW,SLOW,FAST,2700,7,88,ok,,3052,8095.007999620682,0.181202,492.5,3944,20,59,2555,1441,AVERAGE,AVERAGE,FAST,3116,5,44
Vukovar,https://hnk-vukovar1991.hr/,hnk-vukovar1991.hr,104.21.22.147,"Cloudflare, Inc.",US,13335,"{""ip"": ""104.21.22.147"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""North America"", ""continent_code"": ""NA"", ""country"": ""United States"", ""country_code"": ""US"", ""region"": ""California"", ""region_code"": ""CA"", ""city"": ""San Francisco"", ""latitude"": 37.718128, ""longitude"": -122.4343849, ""is_eu"": false, ""postal"": ""94102"", ""calling_code"": ""1"", ""capital"": ""Washington D.C."", ""borders"": ""CA,MX"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/us.svg"", ""emoji"": ""🇺🇸"", ""emoji_unicode"": ""U+1F1FA U+1F1F8""}, ""conne",ok,,https://hnk-vukovar1991.hr/,200,2,HTTPS,text/html; charset=UTF-8,104.21.22.147,443,192.168.1.26,52795,0,1,547772,699,0,2314702,0,0.007115,0.030207,0.074376,0.075733,0.16233,0.236649,0.007115,0.023092,0.044169,0.001357,0.086597,0.074319,"{""certs"": ""Subject:CN = hnk-vukovar1991.hr\nIssuer:C = US, O = Google Trust Services, CN = WE1\nVersion:2\nSerial Number:dda01227288418d8114d63ca468f77a7\nSignature Algorithm:ecdsa-with-SHA256\nPublic Key Algorithm:id-ecPublicKey\nX509v3 Key Usage:Digital Signature\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:BB:A2:3C:01:42:97:9F:08:15:7D:4E:27:A9:19:14:D5:96:50:94:4A\nX509v3 Authority Key Identifier:90:77:92:35:67:C4:FF:A8:CC:A9:E6:7B:D9:80:79:7B:CC:93:F9:38\nAuthority Information Access:OCSP - URI:http://o.pki.goog/s/we1/3aA\nCA Issuers - URI:http://i.pki.goog/we1.crt\nX509v3 Subject Alternative Name:DNS:hnk-vukovar1991.hr, DNS:*.hnk-vukovar1991.hr\nX509v3 Certificate Policies:Policy: 2.23.140.1.2.1\nX509v3 CRL",ok,,https://hnk-vukovar1991.hr/,2026-05-02T15:48:01.198Z,12.8.2,60.0,1064.013,5456.525,2174.8256247585728,0,0.21187599999999998,5541.9738,60.89600000000001,247,8277547,1365,0,388110,251675,1012.701,185.13200000000018,33,"5,460 ms",ok,,7462.999999999999,28769,0.030377,1792,2872,4,99,1039,347,AVERAGE,FAST,FAST,2206,0,68,ok,,1041.0161979211814,5067.080314692523,0.153792,1534.9918015845055,2832,70,45,871,,AVERAGE,SLOW,FAST,3301,38,46
Gorica,https://hnk-gorica.hr/,hnk-gorica.hr,159.69.112.109,Hetzner Online GmbH,DE,24940,"{""ip"": ""159.69.112.109"", ""success"": true, ""type"": ""IPv4"", ""continent"": ""Europe"", ""continent_code"": ""EU"", ""country"": ""Germany"", ""country_code"": ""DE"", ""region"": ""Saxony"", ""region_code"": ""SN"", ""city"": ""Falkenstein"", ""latitude"": 50.4750046, ""longitude"": 12.3649754, ""is_eu"": true, ""postal"": ""08324"", ""calling_code"": ""49"", ""capital"": ""Berlin"", ""borders"": ""AT,BE,CH,CZ,DK,FR,LU,NL,PL"", ""flag"": {""img"": ""https://cdn.ipwhois.io/flags/de.svg"", ""emoji"": ""🇩🇪"", ""emoji_unicode"": ""U+1F1E9 U+1F1EA""}, ""connection"":",ok,,https://hnk-gorica.hr/,200,2,HTTPS,text/html; charset=UTF-8,159.69.112.109,443,192.168.1.26,52853,0,1,644082,360,0,817260,0,0.003799,0.031461,0.074331,0.075587,0.682546,0.788099,0.003799,0.027662,0.04287,0.001256,0.606959,0.105553,"{""certs"": ""Subject:CN = hnk-gorica.hr\nIssuer:C = US, O = Let's Encrypt, CN = R13\nVersion:2\nSerial Number:05c66b4f87fb9a5b1ace10c802bba9289fc3\nSignature Algorithm:sha256WithRSAEncryption\nPublic Key Algorithm:rsaEncryption\nX509v3 Key Usage:Digital Signature, Key Encipherment\nX509v3 Extended Key Usage:TLS Web Server Authentication\nX509v3 Basic Constraints:CA:FALSE\nX509v3 Subject Key Identifier:0E:50:D1:F3:D2:55:AD:F9:53:44:14:7A:68:FA:33:F4:F2:57:D2:F2\nX509v3 Authority Key Identifier:E7:AB:9F:0F:2C:33:A0:53:D3:5E:4F:78:C8:B2:84:0E:3B:D6:92:33\nAuthority Information Access:CA Issuers - URI:http://r13.i.lencr.org/\nX509v3 Subject Alternative Name:DNS:admin.hnk-gorica.hr, DNS:autoconfig.hnk-gorica.hr, DNS:autodiscover.hnk-gorica.hr, DNS:hnk-gorica.hr, DNS:mail.hnk-gorica.hr, DNS:smtp.h",ok,,https://hnk-gorica.hr/,2026-05-02T15:50:15.499Z,12.8.2,57.0,1293.2040000000002,3454.4919999999984,2965.0852641752863,29.5,0.266109,3581.382699999999,732.359,206,3415459,3611,0,213254,113398,2644.1890000000194,256.04499999999985,90,"3,450 ms",ok,,5101.0127459437645,15758.88639971616,0.106276,3467.999999999998,2735,12,307,1980,1234,AVERAGE,AVERAGE,AVERAGE,1930,1,145,ok,,1037.1155163833303,4946.639666856983,0.246483,6138.388435686628,4248,42,302,2067,,SLOW,SLOW,AVERAGE,2025,31,109
